Target,Type,Alt,Az,Fit,Reach,Best
"NGC 185 Dwarf Elliptical Galaxy NGC 185, NGC 147 Dwarf Elliptical Galaxy NGC 147",Galaxy,88.2°,177.4°,0.43,0.63,01:59 CEST
"M108 Surfboard Galaxy, M97 Owl Nebula",Galaxy/Planetary Nebula,30.5°,39.0°,0.36,0.93,05:21 CEST
NGC 891 Silver Sliver Galaxy,Galaxy,82.2°,171.9°,0.10,1.00,03:40 CEST
IC 405 Flaming Star Nebula,Emission Nebula/Reflection Nebula,68.6°,130.3°,0.37,0.20,05:21 CEST
NGC 7640 Spiral Galaxy NGC 7640,Galaxy,80.7°,171.6°,0.06,0.92,00:38 CEST
NGC 925 Galaxy NGC 925,Galaxy,73.4°,187.0°,0.08,0.75,04:00 CEST
NGC 4236 Barred Spiral Galaxy NGC 4236,Galaxy,38.9°,335.5°,0.17,0.61,21:16 CEST
NGC 5907 Splinter Galaxy,Galaxy,49.9°,306.2°,0.08,0.95,21:16 CEST
NGC 7635 Bubble Nebula,Emission Nebula,78.9°,3.6°,0.11,0.45,00:38 CEST
NGC 1333 Embryo Nebula,Reflection Nebula/Open Cluster,71.1°,185.5°,0.04,1.00,05:01 CEST
IC 2574 Coddington's Nebula,Galaxy,43.0°,30.1°,0.10,0.64,05:21 CEST
NGC 1931 Fly Nebula,Open Cluster/Emission Nebula,66.6°,124.1°,0.04,1.00,05:21 CEST
NGC 772 Nautilus Galaxy,Galaxy,58.9°,178.7°,0.03,1.00,03:20 CEST
NGC 404 Mirach's Ghost,Galaxy,75.6°,185.4°,0.03,1.00,02:39 CEST
"IC 434 Horsehead Nebula Region, NGC 2024 Flame Nebula",Emission Nebula/Dark Nebula,32.9°,148.7°,0.28,0.20,05:21 CEST
NGC 488 Spiral Galaxy NGC 488,Galaxy,45.1°,178.0°,0.04,0.95,02:39 CEST
M109 Spiral Galaxy M109,Galaxy,25.2°,35.0°,0.06,0.87,05:21 CEST
NGC 3718 Galaxy NGC 3718,Galaxy/Galaxy Group,25.3°,35.8°,0.03,1.00,05:01 CEST
NGC 40 Bow-Tie Nebula,Planetary Nebula,67.6°,359.5°,0.01,1.00,01:39 CEST
NGC 6826 Blinking Planetary,Planetary Nebula,88.6°,285.9°,0.00,1.00,21:16 CEST
NGC 2392 Eskimo Nebula,Planetary Nebula,39.4°,105.5°,0.01,1.00,05:21 CEST
★ T CrB T Coronae Borealis,Variable Star,39.6°,263.7°,0.00,1.00,21:16 CEST
